,topic,username,repo_name,repo_desc,stars,repo_url,tags
7,API,Kong,insomnia,"The open-source, cross-platform API client for GraphQL, REST, WebSockets, SSE and gRPC. With Cloud, Local and Git storage.",31630,https://github.com/Kong/insomnia,"['api', 'graphql', 'curl', 'rest-api', 'websockets', 'grpc', 'http-client', 'api-client', 'electron-app', 'api-design']"
8,API,httpie,cli,"🥧 HTTPie CLI — modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more.",30618,https://github.com/httpie/cli,"['python', 'api', 'debugging', 'cli', 'http', 'client', 'devops', 'json', 'development', 'terminal', 'web', 'rest', 'curl', 'rest-api', 'http-client', 'api-client', 'developer-tools', 'usability', 'api-testing', 'httpie']"
9,API,trpc,trpc,🧙‍♀️ Move Fast and Break Nothing. End-to-end typesafe APIs made easy.,30617,https://github.com/trpc/trpc,"['react', 'api', 'typescript', 'nextjs', 'next', 'prisma']"
10,API,hasura,graphql-engine,"Blazing fast, instant realtime GraphQL APIs on your DB with fine grained access control, also trigger webhooks on database events.",30587,https://github.com/hasura/graphql-engine,"['mysql', 'api', 'graphql', 'bigquery', 'postgres', 'haskell', 'sql-server', 'rest-api', 'graphql-server', 'access-control', 'hasura', 'graphql-api', 'automatic-api']"
11,API,Binaryify,NeteaseCloudMusicApi,网易云音乐 Node.js API service,29999,https://github.com/Binaryify/NeteaseCloudMusicApi,"['nodejs', 'javascript', 'api', 'apis', 'neteasecloud', 'cloudmusic']"
12,API,ccxt,ccxt,A JavaScript / TypeScript / Python / C# / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges,29947,https://github.com/ccxt/ccxt,"['api', 'bot', 'library', 'crypto', 'bitcoin', 'trading', 'ethereum', 'cryptocurrency', 'exchange', 'e-commerce', 'market-data', 'strategy', 'btc', 'cryptocurrencies', 'trade', 'eth', 'arbitrage', 'altcoin', 'merchant', 'invest']"
13,API,encode,django-rest-framework,Web APIs for Django. 🎸,26882,https://github.com/encode/django-rest-framework,"['python', 'api', 'django', 'rest']"
14,API,YMFE,yapi,YApi 是一个可本地部署的、打通前后端及QA的、可视化的接口管理平台,26763,https://github.com/YMFE/yapi,"['api', 'api-management', 'api-manager', 'api-test']"
15,API,StanGirard,quivr,"Your GenAI Second Brain 🧠 A personal productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...) & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, that you can share with users ! Local & Private alternative to OpenAI GPTs & ChatGPT powered by retrieval-augmented generation",26647,https://github.com/StanGirard/quivr,"['react', 'javascript', 'html', 'api', 'bot', 'docker', 'security', 'privacy', 'typescript', 'database', 'ai', 'frontend', 'rest-api', 'vector', 'chatbot', 'postgresql', 'openai', 'rag', 'llm', 'chatgpt']"
16,API,littlecodersh,ItChat,A complete and graceful API for Wechat. 微信个人号接口、微信机器人及命令行微信，三十行即可自定义个人号机器人。,24580,https://github.com/littlecodersh/ItChat,"['api', 'robot', 'wechat', 'itchat']"
17,API,directus,directus,The Modern Data Stack 🐰 — Directus is an instant REST+GraphQL API and intuitive no-code data collaboration app for any SQL database.,24185,https://github.com/directus/directus,"['javascript', 'mysql', 'api', 'graphql', 'cms', 'app', 'node', 'typescript', 'sql', 'database', 'dashboard', 'vue', 'sqlite', 'postgresql', 'oracle', 'data-visualization', 'mssql', 'directus', 'headless-cms', 'no-code']"
18,API,microsoft,api-guidelines,Microsoft REST API Guidelines,22151,https://github.com/microsoft/api-guidelines,"['api', 'styleguide', 'rest-api', 'guidelines']"
19,API,shieldfy,API-Security-Checklist,"Checklist of the most important security countermeasures when designing, testing, and releasing your API",21655,https://github.com/shieldfy/API-Security-Checklist,"['api', 'security', 'jwt', 'oauth2']"
0,Arduino,arendst,Tasmota,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",20799,https://github.com/arendst/Tasmota,"['mqtt', 'iot', 'arduino', 'esp8266', 'automation', 'ota', 'firmware', 'esp32', 'smart-home', 'knx', 'sonoff', 'tasmota', 'tuya']"
1,Arduino,MarlinFirmware,Marlin,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.,15536,https://github.com/MarlinFirmware/Marlin,"['arduino', 'avr', 'firmware', 'esp32', 'atmel', 'hacktoberfest', '3d-printing', 'reprap', 'stmicro']"
2,Arduino,tinygo-org,tinygo,"Go compiler for small places. Microcontrollers, WebAssembly (WASM/WASI), and command-line tools. Based on LLVM.",13876,https://github.com/tinygo-org/tinygo,"['arduino', 'avr', 'arm', 'microcontroller', 'gpio', 'i2c', 'esp32', 'llvm', 'adafruit', 'stm32', 'webassembly', 'wasm', 'spi', 'microbit', 'hacktoberfest', 'nrf52', 'samd21', 'nrf51', 'wasi', 'tinygo']"
3,Arduino,arduino,Arduino,Arduino IDE 1.x,13869,https://github.com/arduino/Arduino,"['arduino', 'ide']"
4,Arduino,rwaldron,johnny-five,"JavaScript Robotics and IoT programming framework, developed at Bocoup.",13138,https://github.com/rwaldron/johnny-five,"['javascript', 'raspberry-pi', 'iot', 'arduino', 'beaglebone-black', 'gpio', 'serial', 'robotics', 'i2c', 'intel', 'bluetooth', 'spi', 'chip', 'tessel', 'adc', 'photon', 'pwm', '1-wire', 'pcduino', 'dac']"
5,Arduino,SpacehuhnTech,esp8266_deauther,Affordable WiFi hacking platform for testing and learning,12494,https://github.com/SpacehuhnTech/esp8266_deauther,"['arduino', 'esp8266', 'board', 'hack', 'attack', 'wifi', 'deauth', 'scanning', 'hacktoberfest', 'deauther']"
6,Arduino,espressif,arduino-esp32,Arduino core for the ESP32,11842,https://github.com/espressif/arduino-esp32,"['arduino', 'esp32', 'platformio', 'esp-idf']"
7,Arduino,gurugio,lowlevelprogramming-university,How to be low-level programmer,9173,https://github.com/gurugio/lowlevelprogramming-university,"['programming-language', 'arduino', 'hardware', 'firmware', 'assembly', 'linux-kernel', 'embedded-systems', 'operating-system', 'rust-lang', 'low-level', 'system-programming', 'assembly-language-programming', 'low-level-programming', 'c-programming', 'linux-kernel-hacking']"
8,Arduino,hybridgroup,gobot,"Golang framework for robotics, drones, and the Internet of Things (IoT)",8575,https://github.com/hybridgroup/gobot,"['go', 'mqtt', 'raspberry-pi', 'iot', 'arduino', 'beaglebone-black', 'gpio', 'robot', 'uav', 'drone', 'robotics', 'hardware', 'i2c', 'bluetooth', 'internet-of-things', 'sphero', 'intel-joule', 'beaglebone', 'bluetooth-le', 'intel-edison']"
9,Arduino,platformio,platformio-core,Your Gateway to Embedded Software Development Excellence 👽,7253,https://github.com/platformio/platformio-core,"['debugging', 'iot', 'arduino', 'esp8266', 'avr', 'package-manager', 'unit-testing', 'arm', 'microcontroller', 'embedded', 'libraries', 'firmware', 'esp32', 'ide', 'platformio', 'build-system', 'cmsis', 'rtos', 'risc-v', 'zephyr-rtos']"
10,Arduino,bblanchon,ArduinoJson,📟 JSON library for Arduino and embedded C++. Simple and efficient.,6414,https://github.com/bblanchon/ArduinoJson,"['iot', 'c-plus-plus', 'arduino', 'esp8266', 'json', 'embedded', 'esp32', 'arduino-library']"
11,Arduino,tzapu,WiFiManager,ESP8266 WiFi Connection manager with web captive portal,6128,https://github.com/tzapu/WiFiManager,"['arduino', 'esp8266', 'captive', 'wifimanager', 'configuration-portal']"
12,Arduino,olikraus,u8g2,"U8glib library for monochrome displays, version 2",4482,https://github.com/olikraus/u8g2,"['arduino', 'font', 'microcontroller', 'lcd', 'display', 'embedded-systems', 'oled', 'u8g2', 'monochrome-displays']"
13,Arduino,Arduino-IRremote,Arduino-IRremote,Infrared remote library for Arduino: send and receive infrared signals with multiple protocols,4176,https://github.com/Arduino-IRremote/Arduino-IRremote,"['arduino', 'library', 'remote', 'arduino-library', 'infrared']"
14,Arduino,ClemensElflein,OpenMower,"Let's upgrade cheap off-the-shelf robotic mowers to modern, smart RTK GPS based lawn mowing robots!",4170,https://github.com/ClemensElflein/OpenMower,"['raspberry-pi', 'arduino', 'robot', 'robotics', 'gps', 'ros', 'rtk', 'path-finding', 'landscaping', 'lawn-mower', 'robomow']"
15,Arduino,arduino,arduino-cli,Arduino command line tool,4077,https://github.com/arduino/arduino-cli,"['cli', 'golang', 'arduino', 'command-line', 'tooling-team']"
16,Arduino,hybridgroup,cylon,"JavaScript framework for robotics, drones, and the Internet of Things (IoT)",3996,https://github.com/hybridgroup/cylon,"['javascript', 'raspberry-pi', 'iot', 'arduino', 'beaglebone-black', 'gpio', 'robotics', 'i2c', 'internet-of-things', 'bluetooth-low-energy', 'sphero', 'chip', 'intel-joule', 'drones', 'intel-edison']"
17,Arduino,Serial-Studio,Serial-Studio,Multi-purpose serial data visualization & processing program,3801,https://github.com/Serial-Studio/Serial-Studio,"['iot', 'arduino', 'qt', 'microcontroller', 'embedded', 'csv', 'serial', 'graph', 'network', 'projects', 'ground-station', 'cansat', 'serial-studio']"
18,Arduino,blynkkk,blynk-library,"Blynk library for IoT boards. Works with Arduino, ESP32, ESP8266, Raspberry Pi, Particle, ARM Mbed, etc.",3760,https://github.com/blynkkk/blynk-library,"['raspberry-pi', 'iot', 'arduino', 'esp8266', 'embedded', 'ota', 'hardware', 'esp32', 'mbed', 'wifi', 'bluetooth', 'internet-of-things', 'particle-photon', 'iot-platform', 'bluetooth-low-energy', 'gsm', 'ethernet-shield', 'espressif']"
19,Arduino,justcallmekoko,ESP32Marauder,A suite of WiFi/Bluetooth offensive and defensive tools for the ESP32,3661,https://github.com/justcallmekoko/ESP32Marauder,"['iot', 'arduino', 'esp8266', 'command-line', 'firmware', 'scanner', 'esp32', 'wifi', 'bluetooth', 'deauth', 'beacon', 'spammer', 'espressif', 'offensive', 'defensive', 'deauthentication-attack', 'deauthentication', 'esp32-s2', 'flipperzero', 'flipper-zero']"
0,ASP.NET,bitwarden,server,"The core infrastructure backend (API, database, Docker, etc).",13725,https://github.com/bitwarden/server,"['api', 'docker', 'sql', 'sql-server', 'csharp', 'dotnet', 'aspnetcore', 'aspnet', 'dotnet-core', 'signalr', 'bitwarden']"
1,ASP.NET,dotnet,AspNetCore.Docs,Documentation for ASP.NET Core,12096,https://github.com/dotnet/AspNetCore.Docs,"['docs', 'aspnetcore', 'aspnet', 'asp', 'aspnet-core']"
2,ASP.NET,abpframework,abp,"Open Source Web Application Framework for ASP.NET Core. Offers an opinionated architecture to build enterprise software solutions with best practices on top of the .NET and the ASP.NET Core platforms. Provides the fundamental infrastructure, production-ready startup templates, application modules, UI themes, tooling, guides and documentation.",11859,https://github.com/abpframework/abp,"['c-sharp', 'angular', 'framework', 'csharp', 'aspnetcore', 'aspnet', 'architecture', 'domain-driven-design', 'saas', 'dotnet-core', 'aspnet-core', 'multi-tenancy', 'abp', 'blazor']"
3,ASP.NET,aspnetboilerplate,aspnetboilerplate,ASP.NET Boilerplate - Web Application Framework,11414,https://github.com/aspnetboilerplate/aspnetboilerplate,"['c-sharp', 'framework', 'csharp', 'dotnet', 'aspnetcore', 'aspnet', 'best-practices', 'architecture', 'domain-driven-design', 'dotnet-core', 'aspnet-core', 'multi-tenancy', 'abp', 'nlayer-architecture']"
4,ASP.NET,nopSolutions,nopCommerce,ASP.NET Core eCommerce software. nopCommerce is a free and open-source shopping cart.,8676,https://github.com/nopSolutions/nopCommerce,"['ecommerce', 'shopping-cart', 'mvc', 'shop', 'dotnet', 'aspnetcore', 'aspnet', 'headless', 'dotnet-core', 'ecommerce-platform', 'e-commerce', 'asp-net-core', 'asp-net', 'cart', 'sqlserver', 'net6']"
5,ASP.NET,ElectronNET,Electron.NET,"Build cross platform desktop apps with ASP.NET Core (Razor Pages, MVC, Blazor).",7009,https://github.com/ElectronNET/Electron.NET,"['electron', 'cross-platform', 'dotnet', 'aspnet', 'dotnetcore', 'dotnet-core', 'asp-net-core', 'dotnet-standard', 'asp-net-core-mvc', 'blazor', 'electron-net', 'blazor-server', 'blazor-webassembly']"
6,ASP.NET,thangchung,clean-code-dotnet,🛁 Clean Code concepts and tools adapted for .NET,6585,https://github.com/thangchung/clean-code-dotnet,"['awesome', 'csharp', 'solid', 'dotnet', 'aspnet', 'azure', 'best-practices', 'clean-code', 'composition', 'inheritance', 'clean-architecture', 'principles']"
7,ASP.NET,RicoSuter,NSwag,"The Swagger/OpenAPI toolchain for .NET, ASP.NET Core and TypeScript.",6245,https://github.com/RicoSuter/NSwag,"['angular', 'typescript', 'csharp', 'aurelia', 'dotnet', 'aspnetcore', 'aspnet', 'swagger', 'openapi', 'codegen', 'webapi', 'nswag']"
8,ASP.NET,FastEndpoints,FastEndpoints,A light-weight REST API development framework for ASP.Net 6 and newer.,3515,https://github.com/FastEndpoints/FastEndpoints,"['aspnet', 'web-api', 'vertical-slice-architecture', 'minimal-api', 'repr-pattern']"
9,ASP.NET,dotnet,aspnet-api-versioning,"Provides a set of libraries which add service API versioning to ASP.NET Web API, OData with ASP.NET Web API, and ASP.NET Core.",2886,https://github.com/dotnet/aspnet-api-versioning,"['aspnetcore', 'aspnet', 'versioning', 'webapi', 'odata', 'versioning-semantics']"
10,ASP.NET,smartstore,SmartStoreNET,Open Source ASP.NET MVC Enterprise eCommerce Shopping Cart Solution,2615,https://github.com/smartstore/SmartStoreNET,"['sass', 'c-sharp', 'cms', 'ecommerce', 'mvc', 'shop', 'aspnet', 'azure', 'liquid', 'e-commerce', 'ef6', 'lucene', 'cart', 'basket', 'aspnet-mvc-5', 'autofac', 'bootstrap-4', 'smartstore', 'pagebuilder', 'esd']"
11,ASP.NET,serenity-is,Serenity,Business Apps Made Simple with Asp.Net Core MVC / TypeScript,2498,https://github.com/serenity-is/Serenity,"['c-sharp', 'visual-studio', 'typescript', 'aspnetcore', 'aspnet', 'rapid', 'dotnet-core', 'serenity', 'application-platform', 'dotnet6', 'serenity-platform']"
12,ASP.NET,JimBobSquarePants,ImageProcessor,📷 A fluent wrapper around System.Drawing for the processing of image files.,2495,https://github.com/JimBobSquarePants/ImageProcessor,"['c-sharp', 'png', 'aspnet', 'jpeg', 'tiff', 'bmp', 'gif', 'webp', 'image-processor']"
13,ASP.NET,mjebrahimi,Awesome-Microservices-DotNet,"💎 A collection of awesome training series, articles, videos, books, courses, sample projects, and tools for Microservices in .NET",2493,https://github.com/mjebrahimi/Awesome-Microservices-DotNet,"['distributed-systems', 'awesome', 'microservices', 'microservice', 'dotnet', 'aspnetcore', 'aspnet', 'dotnetcore', 'distributed', 'dotnet-core', 'awesome-list', 'aspnet-core', 'asp-net-core', 'asp-net', 'microservices-architecture', 'aspnet-mvc', 'awesome-lists', 'microservice-architecture']"
14,ASP.NET,loic-sharma,BaGet,A lightweight NuGet and symbol server,2446,https://github.com/loic-sharma/BaGet,"['package-manager', 'csharp', 'dotnet', 'aspnet', 'nuget', 'azure']"
15,ASP.NET,TrilonIO,aspnetcore-angular-universal,"ASP.NET Core & Angular Universal advanced starter - PWA w/ server-side rendering for SEO, Bootstrap, i18n internationalization, TypeScript, unit testing, WebAPI REST setup, SignalR, Swagger docs, and more! By @TrilonIO",1464,https://github.com/TrilonIO/aspnetcore-angular-universal,"['angular', 'universal', 'ngrx', 'hmr', 'aspnetcore', 'aspnet', 'ssr', 'angular2', 'angular4', 'dotnet-template', 'angular5', 'angular6', 'trilon']"
16,ASP.NET,TrilonIO,aspnetcore-Vue-starter,"*NEW* Asp.net Core & Vue.js (ES6) SPA Starter kit - Vuex, webpack, Web API, Docker, and more! By @TrilonIO",1215,https://github.com/TrilonIO/aspnetcore-Vue-starter,"['vue', 'aspnetcore', 'aspnet', 'ssr', 'vuejs2', 'vue2', 'dotnet-template', 'trilon']"
17,ASP.NET,MarimerLLC,csla,A home for your business logic in any .NET application.,1181,https://github.com/MarimerLLC/csla,"['c-sharp', 'xamarin', 'aspnetcore', 'aspnet', 'uwp', 'wpf', 'winforms', 'webassembly', 'xamarin-forms', 'asp-net-core', 'netstandard', 'asp-net', 'windows-forms', 'asp-net-mvc', 'csla', 'windowsforms', 'maui', 'web-forms', 'blazor']"
18,ASP.NET,smartstore,Smartstore,"A modular, scalable and ultra-fast open-source all-in-one eCommerce platform built on ASP.NET Core 7",952,https://github.com/smartstore/Smartstore,"['bootstrap', 'cms', 'ecommerce', 'shopping-cart', 'csharp', 'shop', 'dotnet', 'aspnetcore', 'aspnet', 'azure', 'rest-api', 'headless', 'ecommerce-platform', 'e-commerce', 'aspnet-core', 'asp-net', 'cms-framework', 'dxp', 'headless-commerce', 'composable-commerce']"
19,ASP.NET,antonioCoco,SharPyShell,SharPyShell - tiny and obfuscated ASP.NET webshell for C# web applications,831,https://github.com/antonioCoco/SharPyShell,"['obfuscation', 'encryption', 'csharp', 'aspnet', 'webshell']"
0,Atom,atom,atom,The hackable text editor,59787,https://github.com/atom/atom,"['electron', 'javascript', 'atom', 'editor', 'windows', 'macos', 'linux']"
1,Atom,miniflux,v2,Minimalist and opinionated feed reader,5712,https://github.com/miniflux/v2,"['atom', 'go', 'letsencrypt', 'golang', 'rss', 'rdf', 'postgresql', 'feed', 'opml', 'jsonfeed']"
2,Atom,themerdev,themer,"🎨 themer takes a set of colors and generates themes for your apps (editors, terminals, wallpapers, and more).",5297,https://github.com/themerdev/themer,"['atom', 'vim', 'theme', 'slack', 'alfred', 'chrome', 'iterm', 'terminal', 'xcode', 'sketch', 'sublime-text', 'vscode', 'hyper', 'conemu', 'cmd', 'wallpapers', 'lightline', 'themer', 'hacktoberfest', 'trianglify']"
3,Atom,shd101wyy,markdown-preview-enhanced,One of the 'BEST' markdown preview extensions for Atom editor!,4012,https://github.com/shd101wyy/markdown-preview-enhanced,"['atom', 'markdown', 'markdown-editor', 'pandoc', 'plantuml', 'mathjax', 'atom-package', 'toc', 'katex', 'mermaid']"
4,Atom,nteract,hydrogen,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",3884,https://github.com/nteract/hydrogen,"['atom', 'data-science', 'jupyter', 'ipython', 'repl', 'jupyter-kernels', 'nteract', 'hydrogen']"
5,Atom,atom,teletype,Share your workspace with team members and collaborate on code in real time in Atom,2401,https://github.com/atom/teletype,"['atom', 'package', 'realtime-collaboration', 'collaborative-editing']"
6,Atom,mmcdole,gofeed,"Parse RSS, Atom and JSON feeds in Go",2317,https://github.com/mmcdole/gofeed,"['atom', 'go', 'golang', 'rss', 'parser', 'feed', 'rss-feed', 'atom-feed', 'jsonfeed']"
7,Atom,NaiboWang,CommandlineConfig,"A library for users to write (experiment in research) configurations in Python Dict or JSON format, read and write parameter value via dot . in code, while can read parameters from the command line to modify values. 一个供用户以Python Dict或JSON格式编写（科研中实验）配置的库，在代码中用点.读写属性，同时可以从命令行中读取参数配置并修改参数值。",2041,https://github.com/NaiboWang/CommandlineConfig,"['github', 'config', 'python', 'atom', 'commandline', 'github-pages', 'mongodb', 'command-line', 'parameters', 'argument-parser', 'jetbrains', 'pypi', 'arguments', 'configuration', 'pip', 'collaborate', 'codescene', 'termius', 'ghdesktop', 'student-vscode']"
8,Atom,feeddd,feeds,免费的公众号 RSS，支持扩展任意 APP,2019,https://github.com/feeddd/feeds,"['atom', 'rss', 'wechat', 'hamibot']"
9,Atom,mehcode,awesome-atom,A curated list of delightful Atom packages and resources.,1892,https://github.com/mehcode/awesome-atom,"['atom', 'awesome', 'awesome-list']"
10,Atom,kurtmckee,feedparser,Parse feeds in Python,1753,https://github.com/kurtmckee/feedparser,"['python', 'atom', 'rss', 'json', 'rdf']"
11,Atom,ocaml,merlin,Context sensitive completion for OCaml in Vim and Emacs,1528,https://github.com/ocaml/merlin,"['atom', 'vim', 'emacs', 'ocaml']"
12,Atom,joefitzgerald,go-plus,An Enhanced Go Experience For The Atom Editor,1512,https://github.com/joefitzgerald/go-plus,"['lint', 'atom', 'go', 'editor', 'golang', 'autocomplete', 'build', 'test', 'format', 'ide']"
13,Atom,simplepie,simplepie,A simple Atom/RSS parsing library for PHP.,1504,https://github.com/simplepie/simplepie,"['atom', 'rss', 'php', 'parser', 'library']"
14,Atom,Glavin001,atom-beautify,📣 Help Wanted - Looking for Maintainer: https://github.com/Glavin001/atom-beautify/issues/2572 | 💄 Universal beautification package for Atom editor (⚠️ Currently migrating to https://github.com/Unibeautify/ and have very limited bandwidth for Atom-Beautify Issues. Thank you for your patience and understanding ❤️ ),1502,https://github.com/Glavin001/atom-beautify,"['atom', 'coffeescript', 'formatter', 'beautify', 'beautifier', 'prettifier', 'prettify']"
15,Atom,t9md,atom-vim-mode-plus,vim-mode improved,1403,https://github.com/t9md/atom-vim-mode-plus,"['atom', 'vim-mode-plus', 'vim-mode']"
16,Atom,MagicStack,MagicPython,"Cutting edge Python syntax highlighter for Sublime Text, Atom and Visual Studio Code. Used by GitHub to highlight your Python code!",1387,https://github.com/MagicStack/MagicPython,"['python', 'atom', 'visual-studio-code', 'sublime-text-3', 'python-3', 'syntax-highlighter']"
17,Atom,fwcd,kotlin-language-server,"Kotlin code completion, linting and more for any editor/IDE using the Language Server Protocol",1377,https://github.com/fwcd/kotlin-language-server,"['kotlin', 'atom', 'autocomplete', 'language-server', 'ide', 'vscode', 'language-server-protocol', 'code-completion', 'lsp']"
18,Atom,file-icons,atom,Atom file-specific icons for improved visual grepping.,1282,https://github.com/file-icons/atom,"['atom', 'icons']"
19,Atom,atom,apm,Atom Package Manager,1265,https://github.com/atom/apm,"['atom', 'atom-packages']"
0,Awesome Lists,sindresorhus,awesome,😎 Awesome lists about all kinds of interesting topics,283309,https://github.com/sindresorhus/awesome,"['lists', 'awesome', 'unicorns', 'resources', 'awesome-list']"
1,Awesome Lists,vinta,awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",192551,https://github.com/vinta/awesome-python,"['python', 'awesome', 'python-library', 'collections', 'python-framework', 'python-resources']"
2,Awesome Lists,awesome-selfhosted,awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,162861,https://github.com/awesome-selfhosted/awesome-selfhosted,"['awesome', 'cloud', 'privacy', 'selfhosted', 'hosting', 'self-hosted', 'free-software', 'awesome-list']"
3,Awesome Lists,trimstray,the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",117159,https://github.com/trimstray/the-book-of-secret-knowledge,"['linux', 'lists', 'security', 'devops', 'awesome', 'hacking', 'resources', 'bsd', 'awesome-list', 'guidelines', 'hacks', 'sysops', 'cheatsheets', 'search-engines', 'howtos', 'pentesters', 'manuals', 'one-liners', 'security-researchers']"
4,Awesome Lists,avelino,awesome-go,"A curated list of awesome Go frameworks, libraries and software",114030,https://github.com/avelino/awesome-go,"['go', 'golang', 'awesome', 'awesome-list', 'golang-library', 'hacktoberfest']"
5,Awesome Lists,521xueweihan,HelloGitHub,"分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",80386,https://github.com/521xueweihan/HelloGitHub,"['github', 'python', 'awesome', 'hellogithub']"
6,Awesome Lists,papers-we-love,papers-we-love,Papers from the computer science community to read and discuss.,79300,https://github.com/papers-we-love/papers-we-love,"['computer-science', 'meetup', 'awesome', 'programming', 'theory', 'papers', 'read-papers']"
7,Awesome Lists,Hack-with-Github,Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",72852,https://github.com/Hack-with-Github/Awesome-Hacking,"['android', 'security', 'awesome', 'reverse-engineering', 'pentesting-windows', 'hacking', 'penetration-testing', 'bug-bounty', 'fuzzing']"
8,Awesome Lists,jaywcjlove,awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories.",66944,https://github.com/jaywcjlove/awesome-mac,"['macos', 'mac', 'list', 'apple', 'awesome', 'software', 'macosx', 'awesome-list', 'mac-osx', 'awesome-lists']"
9,Awesome Lists,DopplerHQ,awesome-interview-questions,A curated awesome list of lists of interview questions. Feel free to contribute! 🎓,61303,https://github.com/DopplerHQ/awesome-interview-questions,"['javascript', 'ruby', 'interviewing', 'list', 'awesome', 'awesomeness', 'awesome-list', 'interview-practice', 'interview-questions', 'python-interview-questions', 'rails-interview', 'javascript-interview-questions', 'angularjs-interview-questions', 'android-interview-questions']"
10,Awesome Lists,MunGell,awesome-for-beginners,A list of awesome beginners-friendly projects.,60075,https://github.com/MunGell/awesome-for-beginners,"['list', 'awesome', 'beginner-project', 'awesome-list', 'beginners-friendly']"
11,Awesome Lists,enaqx,awesome-react,A collection of awesome things regarding React ecosystem,59973,https://github.com/enaqx/awesome-react,"['react', 'javascript', 'awesome', 'tutorial', 'typescript', 'react-native', 'react-tutorial', 'samples', 'awesome-list', 'react-apps']"
12,Awesome Lists,sindresorhus,awesome-nodejs,⚡ Delightful Node.js packages and resources,54195,https://github.com/sindresorhus/awesome-nodejs,"['nodejs', 'javascript', 'list', 'awesome', 'node', 'awesome-list']"
13,Awesome Lists,fffaraz,awesome-cpp,"A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.",52416,https://github.com/fffaraz/awesome-cpp,"['c', 'lists', 'c-plus-plus', 'list', 'awesome', 'cpp', 'libraries', 'resources', 'awesome-list', 'cppcon', 'cpp-library', 'programming-tutorial']"
14,Awesome Lists,prakhar1989,awesome-courses,📚 List of awesome university courses for learning Computer Science!,51632,https://github.com/prakhar1989/awesome-courses,"['computer-science', 'awesome', 'courses', 'awesome-list']"
15,Awesome Lists,binhnguyennus,awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems",50277,https://github.com/binhnguyennus/awesome-scalability,"['computer-science', 'lists', 'devops', 'distributed-systems', 'machine-learning', 'awesome', 'web-development', 'programming', 'big-data', 'system', 'backend', 'architecture', 'scalability', 'resources', 'design-patterns', 'interview', 'awesome-list', 'interview-practice', 'interview-questions', 'system-design']"
16,Awesome Lists,Solido,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",49658,https://github.com/Solido/awesome-flutter,"['android', 'ios', 'awesome', 'mobile', 'material-design', 'cross-platform', 'resources', 'mobile-app', 'reactive-programming', 'collections', 'awesome-list', 'flutter', 'mobile-development', 'dartlang', 'flutter-plugin', 'flutter-apps', 'flutter-plugins', 'flutter-examples']"
17,Awesome Lists,wasabeef,awesome-android-ui,A curated list of awesome Android UI/UX libraries,48139,https://github.com/wasabeef/awesome-android-ui,"['android', 'awesome', 'ui']"
18,Awesome Lists,vsouza,awesome-ios,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects",44746,https://github.com/vsouza/awesome-ios,"['swift-library', 'ios', 'awesome', 'objective-c', 'swift-extensions', 'swift-framework', 'ios-animation', 'swift-language', 'apple-swift', 'swift-programming', 'objective-c-library', 'ios-libraries', 'arkit']"
19,Awesome Lists,tiimgreen,github-cheat-sheet,A list of cool features of Git and GitHub.,43793,https://github.com/tiimgreen/github-cheat-sheet,"['github', 'git', 'list', 'awesome', 'awesome-list']"
0,Amazon Web Services,bregman-arie,devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",60153,https://github.com/bregman-arie/devops-exercises,"['python', 'git', 'linux', 'docker', 'kubernetes', 'aws', 'ansible', 'devops', 'sql', 'azure', 'containers', 'terraform', 'openstack', 'interview', 'prometheus', 'coding', 'sre', 'interview-questions', 'production-engineer']"
1,Amazon Web Services,localstack,localstack,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,50684,https://github.com/localstack/localstack,"['python', 'testing', 'aws', 'cloud', 'continuous-integration', 'developer-tools', 'localstack']"
